gram;vector;code
HP EliteDisplay E241i;[0, 2, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0];1
EliteDisplay E241i MBE;[1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0];0
Allen Bradley 2711;[0, 12, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0];1
Bradley 2711 T6C16L1;[1, 11, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0];0
2711 T6C16L1 A;[2, 10, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0];0
T6C16L1 A PanelView;[3, 9, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0];0
A PanelView 600;[4, 8, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
PanelView 600 Color;[5, 7, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
600 Color Touch;[6, 6, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
Color Touch RS;[7, 5, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0];0
Touch RS 232;[8, 4, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
RS 232 DF1;[9, 3, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0];0
232 DF1 Warranty;[10, 2, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0];0
DF1 Warranty eBay;[11, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0];0
Allen Bradley 2711P;[0, 13, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0];1
Bradley 2711P T7C4D1;[1, 12, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0];0
2711P T7C4D1 A;[2, 11, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0];0
T7C4D1 A PanelView;[3, 10, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0];0
A PanelView Plus;[4, 9, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0];0
PanelView Plus 700;[5, 8, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0];0
Plus 700 Color;[6, 7, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0];0
700 Color Touch;[7, 6, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
Color Touch ENET;[8, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
Touch ENET RS232;[9, 4, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0];0
ENET RS232 USB;[10, 3, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0];0
RS232 USB Read;[11, 2, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0];0
USB Read eBay;[12, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0];0
OHC24 Shop Monitor;[0, 15, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0];0
Shop Monitor Monitor;[1, 14, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0];0
Monitor Monitor search;[2, 13, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0];0
Monitor search help;[3, 12, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0];0
search help NEC;[4, 11, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0];0
help NEC E243WMI;[5, 10, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0];0
NEC E243WMI LED6096CM;[6, 9, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0];1
E243WMI LED6096CM 24IN;[7, 8, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1];0
LED6096CM 24IN ANADI;[8, 7, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0];0
24IN ANADI 61;[9, 6, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0];0
ANADI 61 cm;[10, 5, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0];0
61 cm 24;[11, 4, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
cm 24 1920;[12, 3, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
24 1920 x;[13, 2, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
1920 x 60003682;[14, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
Philips Philips 221B3LPCB;[0, 8, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0];0
Philips 221B3LPCB 02;[1, 7, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0];1
221B3LPCB 02 LED;[2, 6, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0];0
02 LED display;[3, 5, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
LED display 221B3LPCB;[4, 4, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0];0
display 221B3LPCB 02;[5, 3, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0];0
221B3LPCB 02 Planet;[6, 2, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0];0
02 Planet Computerit;[7, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0];0
AOC Professional E2260SWDA;[0, 12, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0];1
Professional E2260SWDA 21;[1, 11, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0];0
E2260SWDA 21 5;[2, 10, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0];0
21 5 LED;[3, 9, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
5 LED LCD;[4, 8, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
LED LCD Monitor;[5, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
LCD Monitor 16;[6, 6, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
Monitor 16 9;[7, 5, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
16 9 5;[8, 4, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
9 5 MS;[9, 3, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
5 MS 685417049585;[10, 2, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
MS 685417049585 eBay;[11, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
Reman Allen Bradley;[0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
Allen Bradley 2711P;[1, 10, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0];1
Bradley 2711P T12C4A1;[2, 9, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0];0
2711P T12C4A1 A;[3, 8, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0];0
T12C4A1 A PanelView;[4, 7, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0];0
A PanelView Plus;[5, 6, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0];0
PanelView Plus 1250;[6, 5, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0];0
Plus 1250 Color;[7, 4, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0];0
1250 Color Touch;[8, 3, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
Color Touch Ethernet;[9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
Touch Ethernet eBay;[10, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0];0
HP L1710 17;[0, 6, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0];1
L1710 17 LCD;[1, 5, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0];0
17 LCD Monitor;[2, 4, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
LCD Monitor Quantity;[3, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
Monitor Quantity 2;[4, 2, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0];0
Quantity 2 eBay;[5, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0];0
NEC EA223WM BK;[0, 2, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0];1
EA223WM BK MBE;[1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0];0
60003293 NEC MultiSync;[0, 5, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
